ID,Category,Branch,Percentile
3146,2,0,91.1342735
3146,4,0,82.3107244
3146,5,0,30.0860456
3146,6,0,87.0556299
3146,7,0,76.6367377
3146,8,0,83.375844
3146,0,2,86.8382436
3146,1,2,84.2884307
3146,2,2,90.1789743
3146,3,2,67.3938217
3146,4,2,78.5775598
3146,6,2,85.415737
3146,8,2,81.1192722
3146,0,4,45.9664342
3146,1,4,25.5459544
3146,6,4,8.7187144
3146,0,3,73.1851907
3146,1,3,63.973064
3146,2,3,81.0174211
3146,4,3,65.4207881
3146,6,3,67.711928
3146,8,3,67.3938217
3146,0,5,11.3993838
3146,0,1,80.8641005
3146,1,1,73.4109953
3146,2,1,85.9219677
3146,3,1,18.7935787
3146,4,1,75.8958975
3146,6,1,78.0359147
3146,7,1,75.0737739
3146,8,1,79.7413145
6122,0,6,10.6046914
6122,1,6,6.4285981
6122,8,6,17.8500207
6122,0,0,88.4658665
6122,1,0,90.1850615
6122,2,0,92.4956109
6122,3,0,76.7693871
6122,4,0,71.8303504
6122,6,0,87.4150328
6122,7,0,75.1687111
6122,8,0,86.1075077
6122,9,0,86.6965956
6122,0,3,76.8406961
6122,1,3,80.0408747
6122,2,3,83.0041152
6122,3,3,35.1726957
6122,4,3,48.0589023
6122,6,3,73.2522683
6122,7,3,46.8567142
6122,8,3,75.867353
6122,0,5,13.9344262
6122,1,5,32.3095051
6122,3,5,36.3578395
6122,6,5,19.9324831
6122,7,5,11.1520155
6122,9,5,11.119036
6122,0,1,84.4494892
6122,1,1,86.1075077
6122,2,1,88.8621945
6122,3,1,46.1690466
6122,4,1,56.7405028
6122,5,1,52.5567137
6122,6,1,83.3890161
6122,7,1,74.1935484
6122,9,1,75.1338688
3471,0,6,4.7604085
3471,0,0,87.3774785
3471,1,0,79.520817
3471,2,0,89.7218504
3471,3,0,62.3996115
3471,4,0,81.1192722
3471,5,0,40.6521983
3471,6,0,84.740951
3471,8,0,79.5863208
3471,0,1,81.0174211
3471,1,1,64.0952985
3471,2,1,83.4300164
3471,4,1,70.5106049
3471,5,1,24.1305891
3471,6,1,77.9969992
3471,7,1,69.2172491
3471,8,1,70.5106049
3471,0,5,28.3793174
3471,1,5,36.5842646
6283,0,6,13.8442673
6283,1,6,35.1345873
6283,4,6,2.9730846
6283,6,6,11.6574699
6283,8,6,12.4194815
6283,0,1,87.0718315
6283,1,1,88.9154021
6283,3,1,82.1650299
6283,4,1,73.0265619
6283,6,1,82.251586
6283,7,1,83.348395
